"Niche","BusinessName","Rating","Reviews","HotLead_NeedsReviews","Phone","Website","Address","MapsLink"
"Roofers","MANGUESH PARAB & SONS","0","0","Yes (No Reviews)","072497 70802","N/A","halan wada, Hno 35, near shri krishna temple Ecoxim, Bardez, Panaji, Kudchaden, Goa 403101, India","https://www.google.com/maps/place/15.2200076,74.1230861"
"Plumbers","Quick plumber","3.6","15","Yes (Low Rating/Reviews)","087671 17553","N/A","villa no, co-operative society, Shah Harmony, D3, Merces, mollaca, Panaji, Goa 403005, India","https://www.google.com/maps/place/15.4779989,73.8516467"
"Nike store","NIKE","3.8","5","Yes (Low Rating/Reviews)","N/A","https://www.nike.com/in/","C223+GX3, Khadpabandh, Ponda, Goa 403401, India","https://www.google.com/maps/place/15.4012663,74.0049205"
"Bata store","Bata Shoe Store","3.8","1084","Yes (Low Rating/Reviews)","087881 50067","https://stores.bata.com/bata-shoes-sandals-store-in-pajifond-madgaon","No. 15/82, Elvina Building, Isidorio Baptista Rd, opp. IDBI Bank, Pajifond, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2724607,73.9614586"
"Nike store","Nike","3.9","130","Yes (Low Rating/Reviews)","0832 226 6660","https://www.nike.com/in/","Shop No. G-1/G-2, Morod, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.585128,73.8118389"
"Auto Repair","Castrol Auto Service - Sandeep Auto Garage","3.9","146","Yes (Low Rating/Reviews)","075071 28191","https://www.castrolautoservice.in/castrol-auto-service-sandeep-auto-garage-vehicle-repair-saligao-north-goa-333969/Home?utm_source=locator&utm_medium=googleplaces","Ground Floor, near Calangute - Mapusa Road, Bardez, Nagva, Saligao, Goa 403516, India","https://www.google.com/maps/place/15.5569689,73.7748422"
"Bata store","Bata Shoe Store","3.9","299","Yes (Low Rating/Reviews)","087880 27024","https://stores.bata.com/bata-shoes-sandals-store-in-gogol-south-goa","Gogol Housing Board, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2817433,73.98198219999999"
"Bata store","Bata Shoe Store","4.0","268","Yes (Low Rating/Reviews)","095941 66270","https://stores.bata.com/bata-shoes-sandals-store-in-vaddem-south-goa","No. 1, Damodar Chambers, Fr José Vaz Rd, near YES Bank, Vaddem, Vasco Da Gama, Goa 403802, India","https://www.google.com/maps/place/15.3969278,73.80943959999999"
"Bata store","Bata","4.1","574","Yes (Low Rating/Reviews)","098343 78391","https://www.bata.in/","6, Cozy Nook Municipal Building, 18th June Rd, Altinho, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4980491,73.82656159999999"
"Nike store","Nike Store","4.1","69","Yes (Low Rating/Reviews)","080091 90566","N/A","Ground Floor-8, Mall De Goa, Survey No 73/1, Nova Cidate Complex, NH 66, Porvorim, Goa Velha, Goa 403521, India","https://www.google.com/maps/place/15.525759,73.82704919999999"
"Roofers","SHREERAM MARKETING SERVICES | roof & steel supplier in Goa","4.1","19","Yes (Low Rating/Reviews)","094224 38929","N/A","Plot no 4/2, Panjim - Bambolim service road, 2nd underpass, near After, Cujira-Jin, Santa Cruz, Goa 403005, India","https://www.google.com/maps/place/15.4700163,73.8512995"
